"Supercluster"	"Number of reads"	"Automatic_annotation"	"Similarity_hits"	"TAREAN_annotation"	"Clusters"
1	412803	"Tekay"	"                                                | nhits | proportion |                                                   features
---------------------------------------------------------------------------------------------------------------------------------
All                                             | 10074 | 0.024      |                                                           
 |--organelle                                   | 13    | 3.2e-05    |                                                           
 |   |--plastid                                 | 8     | 1.9e-05    |                                                           
 |   '--mitochondria                            | 5     | 1.2e-05    |                                                           
 '--repeat                                      | 10061 | 0.024      |                                                           
     |--satellite                               | 7027  | 0.017      |                                                           
     '--mobile_element                          | 3034  | 0.0073     |                                                           
         '--Class_I                             | 3034  | 0.0073     |                                                           
             |--LTR                             | 3025  | 0.0073     | LTR/PBS                                                   
             |   |--Ty1_copia                   | 12    | 2.9e-05    |                                                           
             |   |   |--Ale                     | 6     | 1.4e-05    | 3 (Ty1-INT), 1 (Ty1-PROT), 2 (Ty1-RH),                    
             |   |   |--Ikeros                  | 1     | 2.4e-06    | 1 (Ty1-INT),                                              
             |   |   |--Ivana                   | 4     | 9.7e-06    | 3 (Ty1-INT), 1 (Ty1-RT),                                  
             |   |   '--SIRE                    | 1     | 2.4e-06    | 1 (Ty1-GAG),                                              
             |   '--Ty3_gypsy                   | 3013  | 0.0073     |                                                           
             |       |--non-chromovirus         | 4     | 9.7e-06    |                                                           
             |       |   '--OTA                 | 4     | 9.7e-06    |                                                           
             |       |       |--Athila          | 2     | 4.8e-06    | 1 (Ty3-GAG), 1 (Ty3-RT),                                  
             |       |       '--Tat             | 2     | 4.8e-06    |                                                           
             |       |           '--Ogre        | 2     | 4.8e-06    | 2 (Ty3-RT),                                               
             |       '--chromovirus             | 3009  | 0.0073     |                                                           
             |           |--Tcn1                | 1     | 2.4e-06    | 1 (Ty3-RT),                                               
             |           |--CRM                 | 160   | 0.00039    | 156 (Ty3-GAG), 3 (Ty3-INT), 1 (Ty3-PROT),                 
             |           |--Galadriel           | 5     | 1.2e-05    | 4 (Ty3-GAG), 1 (Ty3-RT),                                  
             |           |--Tekay               | 2788  | 0.0068     | 528 (Ty3-CHD), 2241 (Ty3-GAG), 4 (Ty3-PROT), 15 (Ty3-RH), 
             |           '--Reina               | 55    | 0.00013    | 53 (Ty3-GAG), 2 (Ty3-RH),                                 
             |--pararetrovirus                  | 1     | 2.4e-06    | 1 (PARA-RT),                                              
             '--LINE                            | 8     | 1.9e-05    | 7 (LINE-ENDO), 1 (LINE-RT),                               "	"52 - Putative satellites (low confidence)"	"3,7,8,9,13,15,19,20,24,31,34,36,39,42,43,44,45,47,48,52,55,57,66,67,72,80,82,84,85,100,1,6,4,11,18,27,40"
2	121315	"Ogre"	"                                                | nhits | proportion |                                                                                     features
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
All                                             | 9462  | 0.078      |                                                                                             
 |--organelle                                   | 147   | 0.0012     |                                                                                             
 |   |--plastid                                 | 5     | 4.1e-05    |                                                                                             
 |   '--mitochondria                            | 142   | 0.0012     |                                                                                             
 '--repeat                                      | 9315  | 0.077      |                                                                                             
     |--satellite                               | 3139  | 0.026      |                                                                                             
     '--mobile_element                          | 6176  | 0.051      |                                                                                             
         '--Class_I                             | 6176  | 0.051      |                                                                                             
             '--LTR                             | 6176  | 0.051      | LTR/PBS                                                                                     
                 '--Ty3_gypsy                   | 6176  | 0.051      |                                                                                             
                     '--non-chromovirus         | 6176  | 0.051      |                                                                                             
                         '--OTA                 | 6176  | 0.051      |                                                                                             
                             |--Athila          | 32    | 0.00026    | 22 (Ty3-PROT), 10 (Ty3-RT),                                                                 
                             '--Tat             | 6144  | 0.051      |                                                                                             
                                 |--TatII       | 2     | 1.6e-05    | 1 (Ty3-RT), 1 (Ty3-aRH),                                                                    
                                 |--TatIII      | 3     | 2.5e-05    | 1 (Ty3-INT), 2 (Ty3-RT),                                                                    
                                 |--Ogre        | 6040  | 0.05       | 1132 (Ty3-GAG), 2207 (Ty3-INT), 194 (Ty3-PROT), 865 (Ty3-RH), 1047 (Ty3-RT), 595 (Ty3-aRH), 
                                 '--Retand      | 99    | 0.00082    | 52 (Ty3-GAG), 3 (Ty3-INT), 28 (Ty3-RH), 12 (Ty3-RT), 4 (Ty3-aRH),                           "	"169 - Putative satellites (low confidence)
204 - Putative satellites (low confidence)"	"23,32,37,59,60,92,95,109,115,144,169,172,204,286,10,2,46,94"
3	59979	"CRM"	"                                                | nhits | proportion |                                                                                         features
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------
All                                             | 26532 | 0.44       |                                                                                                 
 |--organelle                                   | 1     | 1.7e-05    |                                                                                                 
 |   '--plastid                                 | 1     | 1.7e-05    |                                                                                                 
 '--repeat                                      | 26531 | 0.44       |                                                                                                 
     |--satellite                               | 13298 | 0.22       |                                                                                                 
     '--mobile_element                          | 13233 | 0.22       |                                                                                                 
         '--Class_I                             | 13233 | 0.22       |                                                                                                 
             |--LTR                             | 13231 | 0.22       | LTR/PBS                                                                                         
             |   |--Ty1_copia                   | 4     | 6.7e-05    |                                                                                                 
             |   |   |--Ale                     | 3     | 5e-05      | 3 (Ty1-GAG),                                                                                    
             |   |   '--SIRE                    | 1     | 1.7e-05    | 1 (Ty1-RH),                                                                                     
             |   '--Ty3_gypsy                   | 13227 | 0.22       |                                                                                                 
             |       |--non-chromovirus         | 2     | 3.3e-05    |                                                                                                 
             |       |   |--non-chromo-outgroup | 1     | 1.7e-05    | 1 (Ty3-RH),                                                                                     
             |       |   '--OTA                 | 1     | 1.7e-05    |                                                                                                 
             |       |       '--Tat             | 1     | 1.7e-05    |                                                                                                 
             |       |           '--Retand      | 1     | 1.7e-05    | 1 (Ty3-INT),                                                                                    
             |       '--chromovirus             | 13225 | 0.22       |                                                                                                 
             |           |--Tcn1                | 3     | 5e-05      | 3 (Ty3-RT),                                                                                     
             |           |--CRM                 | 13169 | 0.22       | 566 (Ty3-CHDCR), 1236 (Ty3-GAG), 4872 (Ty3-INT), 1645 (Ty3-PROT), 2165 (Ty3-RH), 2685 (Ty3-RT), 
             |           |--Tekay               | 9     | 0.00015    | 2 (Ty3-INT), 1 (Ty3-PROT), 4 (Ty3-RH), 2 (Ty3-RT),                                              
             |           |--Reina               | 31    | 0.00052    | 25 (Ty3-RH), 6 (Ty3-RT),                                                                        
             |           '--Ferney              | 13    | 0.00022    | 13 (Ty3-RT),                                                                                    
             '--pararetrovirus                  | 2     | 3.3e-05    | 2 (PARA-RT),                                                                                    "	"14 - Putative satellites (low confidence)"	"35,71,104,106,114,119,120,147,228,14,38,131"
4	55070	"SIRE"	"                                                | nhits | proportion |                                                                       features
-----------------------------------------------------------------------------------------------------------------------------------------------------
All                                             | 19409 | 0.35       |                                                                               
 '--repeat                                      | 19409 | 0.35       |                                                                               
     |--satellite                               | 10238 | 0.19       |                                                                               
     '--mobile_element                          | 9171  | 0.17       |                                                                               
         '--Class_I                             | 9171  | 0.17       |                                                                               
             |--LTR                             | 9170  | 0.17       | LTR/PBS                                                                       
             |   |--Ty1_copia                   | 9169  | 0.17       |                                                                               
             |   |   |--Ale                     | 9     | 0.00016    | 2 (Ty1-INT), 7 (Ty1-RH),                                                      
             |   |   |--Alesia                  | 1     | 1.8e-05    | 1 (Ty1-INT),                                                                  
             |   |   |--Gymco-I                 | 1     | 1.8e-05    | 1 (Ty1-INT),                                                                  
             |   |   |--Gymco-II                | 4     | 7.3e-05    | 4 (Ty1-RH),                                                                   
             |   |   |--Ikeros                  | 1     | 1.8e-05    | 1 (Ty1-INT),                                                                  
             |   |   |--Ivana                   | 372   | 0.0068     | 5 (Ty1-GAG), 6 (Ty1-INT), 3 (Ty1-PROT), 348 (Ty1-RH), 10 (Ty1-RT),            
             |   |   |--SIRE                    | 8665  | 0.16       | 1920 (Ty1-GAG), 1754 (Ty1-INT), 623 (Ty1-PROT), 1332 (Ty1-RH), 3036 (Ty1-RT), 
             |   |   |--Tork                    | 114   | 0.0021     | 111 (Ty1-INT), 3 (Ty1-RH),                                                    
             |   |   '--Ferco                   | 2     | 3.6e-05    | 2 (Ty1-RT),                                                                   
             |   '--Ty3_gypsy                   | 1     | 1.8e-05    |                                                                               
             |       '--non-chromovirus         | 1     | 1.8e-05    |                                                                               
             |           '--OTA                 | 1     | 1.8e-05    |                                                                               
             |               '--Tat             | 1     | 1.8e-05    |                                                                               
             |                   '--Ogre        | 1     | 1.8e-05    | 1 (Ty3-RT),                                                                   
             '--LINE                            | 1     | 1.8e-05    | 1 (LINE-RT),                                                                  "	"29 - Putative satellites (low confidence)"	"33,61,68,88,89,93,127,29,51"
5	54678	"Athila"	"                                                | nhits | proportion |                                                                    features
--------------------------------------------------------------------------------------------------------------------------------------------------
All                                             | 3504  | 0.064      |                                                                            
 |--organelle                                   | 102   | 0.0019     |                                                                            
 |   |--plastid                                 | 2     | 3.7e-05    |                                                                            
 |   '--mitochondria                            | 100   | 0.0018     |                                                                            
 '--repeat                                      | 3402  | 0.062      |                                                                            
     '--mobile_element                          | 3402  | 0.062      |                                                                            
         '--Class_I                             | 3402  | 0.062      |                                                                            
             '--LTR                             | 3402  | 0.062      | LTR/PBS                                                                    
                 '--Ty3_gypsy                   | 3402  | 0.062      |                                                                            
                     |--non-chromovirus         | 3401  | 0.062      |                                                                            
                     |   '--OTA                 | 3401  | 0.062      |                                                                            
                     |       |--Athila          | 3400  | 0.062      | 652 (Ty3-GAG), 1141 (Ty3-INT), 369 (Ty3-PROT), 571 (Ty3-RH), 667 (Ty3-RT), 
                     |       '--Tat             | 1     | 1.8e-05    |                                                                            
                     |           '--Retand      | 1     | 1.8e-05    | 1 (Ty3-INT),                                                               
                     '--chromovirus             | 1     | 1.8e-05    |                                                                            
                         '--Reina               | 1     | 1.8e-05    | 1 (Ty3-INT),                                                               "	NA	"17,56,73,78,135,140,12,75"
6	53094	"Tekay"	"                                                | nhits | proportion |                                                                                       features
---------------------------------------------------------------------------------------------------------------------------------------------------------------------
All                                             | 28558 | 0.54       |                                                                                               
 |--organelle                                   | 13    | 0.00024    |                                                                                               
 |   |--plastid                                 | 2     | 3.8e-05    |                                                                                               
 |   '--mitochondria                            | 11    | 0.00021    |                                                                                               
 '--repeat                                      | 28545 | 0.54       |                                                                                               
     '--mobile_element                          | 28545 | 0.54       |                                                                                               
         '--Class_I                             | 28545 | 0.54       |                                                                                               
             |--LTR                             | 28542 | 0.54       |                                                                                               
             |   '--Ty3_gypsy                   | 28542 | 0.54       |                                                                                               
             |       |--non-chromovirus         | 3     | 5.6e-05    |                                                                                               
             |       |   '--OTA                 | 3     | 5.6e-05    |                                                                                               
             |       |       |--Athila          | 1     | 1.9e-05    | 1 (Ty3-RH),                                                                                   
             |       |       |--Tat             | 1     | 1.9e-05    |                                                                                               
             |       |       |   '--Retand      | 1     | 1.9e-05    | 1 (Ty3-RH),                                                                                   
             |       |       '--Tatius          | 1     | 1.9e-05    | 1 (Ty3-RT),                                                                                   
             |       '--chromovirus             | 28539 | 0.54       |                                                                                               
             |           |--Chlamyvir           | 2     | 3.8e-05    | 2 (Ty3-RT),                                                                                   
             |           |--Tcn1                | 134   | 0.0025     | 2 (Ty3-INT), 132 (Ty3-RT),                                                                    
             |           |--chromo-outgroup     | 2     | 3.8e-05    | 2 (Ty3-RT),                                                                                   
             |           |--CRM                 | 74    | 0.0014     | 66 (Ty3-GAG), 4 (Ty3-INT), 4 (Ty3-RT),                                                        
             |           |--Galadriel           | 19    | 0.00036    | 19 (Ty3-RT),                                                                                  
             |           |--Tekay               | 28139 | 0.53       | 1763 (Ty3-CHD), 775 (Ty3-GAG), 11598 (Ty3-INT), 853 (Ty3-PROT), 5931 (Ty3-RH), 7219 (Ty3-RT), 
             |           |--Reina               | 127   | 0.0024     | 1 (Ty3-GAG), 5 (Ty3-INT), 102 (Ty3-PROT), 5 (Ty3-RH), 14 (Ty3-RT),                            
             |           |--chromo-unclass      | 1     | 1.9e-05    | 1 (Ty3-RT),                                                                                   
             |           '--Ferney              | 41    | 0.00077    | 35 (Ty3-INT), 1 (Ty3-RH), 5 (Ty3-RT),                                                         
             '--pararetrovirus                  | 3     | 5.6e-05    | 3 (PARA-RT),                                                                                  "	NA	"16,26,30,5"
7	34195	"repeat"	"                                                | nhits | proportion |      features
------------------------------------------------------------------------------------
All                                             | 29497 | 0.86       |              
 |--organelle                                   | 291   | 0.0085     |              
 |   '--mitochondria                            | 291   | 0.0085     |              
 '--repeat                                      | 29206 | 0.85       |              
     |--rDNA                                    | 17934 | 0.52       |              
     |   '--45S_rDNA                            | 17934 | 0.52       |              
     |       |--18S_rDNA                        | 7052  | 0.21       |              
     |       |--25S_rDNA                        | 10415 | 0.3        |              
     |       '--5.8S_rDNA                       | 467   | 0.014      |              
     |--satellite                               | 11268 | 0.33       |              
     '--mobile_element                          | 4     | 0.00012    |              
         '--Class_I                             | 4     | 0.00012    |              
             '--LTR                             | 4     | 0.00012    |              
                 '--Ty1_copia                   | 4     | 0.00012    |              
                     '--Ivana                   | 4     | 0.00012    | 4 (Ty1-INT), "	"21 - Putative satellites (high confidence)"	"70,90,98,138,206,321,21,87"
8	23797	"Tekay"	"                                                | nhits | proportion |                                     features
-------------------------------------------------------------------------------------------------------------------
All                                             | 299   | 0.013      |                                             
 '--repeat                                      | 299   | 0.013      |                                             
     '--mobile_element                          | 299   | 0.013      |                                             
         '--Class_I                             | 299   | 0.013      |                                             
             '--LTR                             | 299   | 0.013      | LTR/PBS                                     
                 '--Ty3_gypsy                   | 299   | 0.013      |                                             
                     '--chromovirus             | 299   | 0.013      |                                             
                         |--CRM                 | 9     | 0.00038    | 9 (Ty3-GAG),                                
                         |--Tekay               | 287   | 0.012      | 12 (Ty3-CHD), 265 (Ty3-GAG), 10 (Ty3-PROT), 
                         '--Reina               | 3     | 0.00013    | 2 (Ty3-GAG), 1 (Ty3-PROT),                  "	NA	"97,121,148,22,113"
9	16231	"NA"	"                                                | nhits | proportion |                     features
---------------------------------------------------------------------------------------------------
All                                             | 122   | 0.0075     |                             
 '--repeat                                      | 122   | 0.0075     |                             
     '--mobile_element                          | 122   | 0.0075     |                             
         '--Class_I                             | 122   | 0.0075     |                             
             '--LTR                             | 122   | 0.0075     |                             
                 '--Ty3_gypsy                   | 122   | 0.0075     |                             
                     '--chromovirus             | 122   | 0.0075     |                             
                         '--Tekay               | 122   | 0.0075     | 121 (Ty3-CHD), 1 (Ty3-INT), "	NA	"58,141,50"
10	12172	"LTR"	"                                                | nhits | proportion |                  features
------------------------------------------------------------------------------------------------
All                                             | 6     | 0.00049    |                          
 |--organelle                                   | 2     | 0.00016    |                          
 |   '--plastid                                 | 2     | 0.00016    |                          
 '--repeat                                      | 4     | 0.00033    |                          
     '--mobile_element                          | 4     | 0.00033    |                          
         '--Class_I                             | 4     | 0.00033    |                          
             |--LTR                             | 3     | 0.00025    | LTR/PBS                  
             |   |--Ty1_copia                   | 1     | 8.2e-05    |                          
             |   |   '--Ivana                   | 1     | 8.2e-05    | 1 (Ty1-RH),              
             |   '--Ty3_gypsy                   | 2     | 0.00016    |                          
             |       '--non-chromovirus         | 2     | 0.00016    |                          
             |           '--OTA                 | 2     | 0.00016    |                          
             |               '--Athila          | 2     | 0.00016    | 1 (Ty3-INT), 1 (Ty3-RH), 
             '--LINE                            | 1     | 8.2e-05    | 1 (LINE-ENDO),           "	NA	"112,41"
